BATCH_ID,ROW_START,ROW_END,OWNER,STATUS,ROWS_TOTAL,ROWS_REVIEW,ROWS_READY_FOR_REWRITE,FIRST_TITLE,LAST_TITLE,QUALITY_NOTES
BATCH-001,1,10,,REVIEW,10,10,0,Annual Compliances of LLP,How to take advantage of the amnesty for GST registration,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-002,11,20,,IN_PROGRESS,10,3,7,Simple Guide On Trademark Filing Process,"Private Limited Company Compliances in India: Benefits, Requirements, and Consequences",Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-003,21,30,,UNASSIGNED,10,0,10,Annual Compliances of LLP,GST Refunds guidelines,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-004,31,40,,UNASSIGNED,10,0,10,Import Export Code,E-Registering a Trademark in India: Step-by-step Guide and Fees,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-005,41,50,,UNASSIGNED,10,0,10,Trademark Registration Online: Steps and Requirements,Reduction in fees for Annual returns,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-006,51,60,,UNASSIGNED,10,0,10,Restriction to avail ITC under CGST,Form DPT-3,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-007,61,70,,UNASSIGNED,10,0,10,ITC can't avail on Same Invoice,Changes in Table 4 of GSTR-3B,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-008,71,80,,UNASSIGNED,10,0,10,Customs Duty on imported goods,Margin Scheme under GST,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-009,81,90,,UNASSIGNED,10,0,10,Filing of LUT on GST Portal,GST on Export Freight,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-010,91,100,,UNASSIGNED,10,0,10,GSTR-1 and GSTR-3B,ROC Compliance List & deadlines,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-011,101,110,,UNASSIGNED,10,0,10,DPT-3 e-Form: Due Date,GST on Carbonated Cold Drinks,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-012,111,120,,UNASSIGNED,10,0,10,GST on Khadi Products,Outcomes of late GSTR-1 filing,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-013,121,130,,UNASSIGNED,10,0,10,"Discrepancies Among GSTR 2A, GSTR 2B, GSTR 8A",GST Consumer Empowerment Scheme,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-014,131,140,,UNASSIGNED,10,0,10,GST on Sporting Goods & Toys,GST: Key Concerns for Taxpayers,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-015,141,150,,UNASSIGNED,10,0,10,Small business GST compliance tips,Private Limited Companies in India: Successful Examples,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-016,151,160,,UNASSIGNED,10,0,10,Best Practices for Choosing Pvt Ltd Company Names,Annual Return Filing for Private Limited Companies,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-017,161,170,,UNASSIGNED,10,0,10,ROC Filings Explained: A Month-by-Month Compliance Calendar,TDS on interest in PF Contributions,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
BATCH-018,171,180,,UNASSIGNED,10,0,10,TDS under section 194R,UAN Activation: A Quick Guide,Use TEAM_REWRITE_WORKFLOW.md and rewrite_prompt_production.txt. Fill REWRITE_TEXT only.
